province,country,lat,long,date,confirmed,deaths,recovered
,El Salvador,13.7942,-88.8965,4/25/2020,274,8,75
,Equatorial Guinea,1.5,10,4/25/2020,258,1,7
,Eritrea,15.1794,39.7823,4/25/2020,39,0,13
,Estonia,58.5953,25.0136,4/25/2020,1635,46,228
,Eswatini,-26.5225,31.4659,4/25/2020,56,1,10
,Ethiopia,9.145,40.4897,4/25/2020,122,3,29
,Fiji,-17.7134,178.065,4/25/2020,18,0,10
,Finland,64,26,4/25/2020,4475,186,2500
French Guiana,France,3.9339,-53.1258,4/25/2020,111,1,87
French Polynesia,France,-17.6797,149.4068,4/25/2020,57,0,41
Guadeloupe,France,16.25,-61.5833,4/25/2020,149,12,82
Mayotte,France,-12.8275,45.1662,4/25/2020,380,4,144
New Caledonia,France,-20.9043,165.618,4/25/2020,18,0,17
Reunion,France,-21.1351,55.2471,4/25/2020,417,0,300
Saint Barthelemy,France,17.9,-62.8333,4/25/2020,6,0,6
St Martin,France,18.0708,-63.0501,4/25/2020,38,3,24
Martinique,France,14.6415,-61.0242,4/25/2020,175,14,77
,France,46.2276,2.2137,4/25/2020,160292,22583,43816
,Gabon,-0.8037,11.6094,4/25/2020,176,3,30
,Gambia,13.4432,-15.3101,4/25/2020,10,1,8
,Georgia,42.3154,43.3569,4/25/2020,456,5,139
,Germany,51,9,4/25/2020,156513,5877,109800
,Ghana,7.9465,-1.0232,4/25/2020,1279,10,134
,Greece,39.0742,21.8243,4/25/2020,2506,130,577
,Guatemala,15.7835,-90.2308,4/25/2020,473,13,45
,Guinea,9.9456,-9.6966,4/25/2020,996,7,208
,Guyana,5,-58.75,4/25/2020,73,7,12
,Haiti,18.9712,-72.2852,4/25/2020,72,6,6
,Holy See,41.9029,12.4534,4/25/2020,9,0,2
,Honduras,15.2,-86.2419,4/25/2020,627,59,65
,Hungary,47.1625,19.5033,4/25/2020,2443,262,458
,Iceland,64.9631,-19.0208,4/25/2020,1790,10,1570
,India,21,78,4/25/2020,26283,825,5939
,Indonesia,-0.7893,113.9213,4/25/2020,8607,720,1042
,Iran,32,53,4/25/2020,89328,5650,68193
,Iraq,33,44,4/25/2020,1763,86,1224
,Ireland,53.1424,-7.6921,4/25/2020,18561,1063,9233
,Israel,31,35,4/25/2020,15298,199,6435
,Italy,43,12,4/25/2020,195351,26384,63120
,Jamaica,18.1096,-77.2975,4/25/2020,305,7,28
,Japan,36,138,4/25/2020,13231,360,1656
,Jordan,31.24,36.51,4/25/2020,444,7,332
,Kazakhstan,48.0196,66.9237,4/25/2020,2601,25,646
,Kenya,-0.0236,37.9062,4/25/2020,343,14,98
,South Korea,36,128,4/25/2020,10728,242,8717
,Kuwait,29.5,47.75,4/25/2020,2892,19,656
,Kyrgyzstan,41.2044,74.7661,4/25/2020,665,8,345
,Latvia,56.8796,24.6032,4/25/2020,804,12,267
,Lebanon,33.8547,35.8623,4/25/2020,704,24,143
,Liberia,6.4281,-9.4295,4/25/2020,120,11,25
,Liechtenstein,47.14,9.55,4/25/2020,81,1,55
,Lithuania,55.1694,23.8813,4/25/2020,1426,41,460
,Luxembourg,49.8153,6.1296,4/25/2020,3711,85,3088
,Madagascar,-18.7669,46.8691,4/25/2020,123,0,62
,Malaysia,2.5,112.5,4/25/2020,5742,98,3762
,Maldives,3.2028,73.2207,4/25/2020,177,0,17
,Malta,35.9375,14.3754,4/25/2020,448,4,249
,Mauritania,21.0079,10.9408,4/25/2020,7,1,6
,Mauritius,-20.2,57.5,4/25/2020,331,9,295
,Mexico,23.6345,-102.5528,4/25/2020,13842,1305,7149
,Moldova,47.4116,28.3699,4/25/2020,3304,94,825
,Monaco,43.7333,7.4167,4/25/2020,94,4,42
,Mongolia,46.8625,103.8467,4/25/2020,37,0,9
